stateCode,stateName,localBodyCode,localBodyName,localBodyType,districtCode,districtName,status
3,Punjab,248342,Raikot,Municipality,36.0,Ludhiana,FULL MATCH
3,Punjab,248343,Jagraon,Municipality,36.0,Ludhiana,FULL MATCH
3,Punjab,248363,Rampura Phul,Municipality,37.0,Mansa,FULL MATCH
3,Punjab,248370,Raman,Municipality,37.0,Mansa,FULL MATCH
3,Punjab,248371,Maur,Municipality,37.0,Mansa,FULL MATCH
3,Punjab,248372,Sardulgarh,Town Panchayat,37.0,Mansa,FULL MATCH
3,Punjab,248373,Budhlada,Municipality,37.0,Mansa,FULL MATCH
3,Punjab,248374,Bareta,Municipality,37.0,Mansa,FULL MATCH
3,Punjab,248375,Bhikhi,Town Panchayat,37.0,Mansa,FULL MATCH
3,Punjab,248376,Mansa,Municipality,37.0,Mansa,FULL MATCH
3,Punjab,253124,Talwandi Sabo,Town Panchayat,37.0,Mansa,FULL MATCH
3,Punjab,262906,Joga,Town Panchayat,37.0,Mansa,FULL MATCH
3,Punjab,277199,Boha,Town Panchayat,37.0,Mansa,FULL MATCH
3,Punjab,248344,Badhni Kalan,Town Panchayat,38.0,Moga,FULL MATCH
3,Punjab,248345,Bhagha Purana,Municipality,38.0,Moga,FULL MATCH
3,Punjab,248346,Dharamkot,Municipality,38.0,Moga,FULL MATCH
3,Punjab,248347,Moga,Municipal Corporations,38.0,Moga,FULL MATCH
3,Punjab,248348,Makhu,Town Panchayat,38.0,Moga,FULL MATCH
3,Punjab,248349,Zira,Municipality,38.0,Moga,FULL MATCH
3,Punjab,262988,Nihal Singh Wala,Town Panchayat,38.0,Moga,FULL MATCH
3,Punjab,262989,Kot Ise Khan,Town Panchayat,38.0,Moga,FULL MATCH
3,Punjab,276647,Fatehgarh Panjtoor,Town Panchayat,38.0,Moga,FULL MATCH
3,Punjab,248356,Malout,Municipality,39.0,Sri Muktsar Sahib,FULL MATCH
3,Punjab,248357,Giddarbaha,Municipality,39.0,Sri Muktsar Sahib,FULL MATCH
3,Punjab,248358,Bariwala,Town Panchayat,39.0,Sri Muktsar Sahib,FULL MATCH
3,Punjab,248359,Muktsar,Municipality,39.0,Sri Muktsar Sahib,FULL MATCH
3,Punjab,248362,Jaitu,Municipality,39.0,Sri Muktsar Sahib,FULL MATCH
3,Punjab,248312,Banga,Municipality,40.0,Shahid Bhagat Singh Nagar,FULL MATCH
3,Punjab,248313,Nawanshahr,Municipality,40.0,Shahid Bhagat Singh Nagar,FULL MATCH
3,Punjab,248314,Rahon,Municipality,40.0,Shahid Bhagat Singh Nagar,FULL MATCH
3,Punjab,248327,Bassi Pathana,Municipality,41.0,Patiala,FULL MATCH
3,Punjab,248330,Amloh,Municipality,41.0,Patiala,FULL MATCH
